"Domain","URL","Branch","Agency","Redirect","Participates in DAP?"
"distraction.gov","http://www.distraction.gov","executive","Department of Transportation","No","Yes"
"dnfsb.gov","http://www.dnfsb.gov","executive","Defense Nuclear Facilities Safety Board","No","Yes"
"dni.gov","https://www.dni.gov","executive","Director of National Intelligence","No","No"
"dnsops.gov","https://dnsops.gov","executive","Department of Commerce","No","No"
"docline.gov","https://www.docline.gov","executive","Department of Health And Human Services","No","No"
"dod.gov","http://www.dod.gov","executive","Department of Defense","No","No"
"doi.gov","https://www.doi.gov","executive","Department of the Interior","No","Yes"
"doioig.gov","https://www.doioig.gov","executive","Department of the Interior","No","No"
"dol.gov","https://www.dol.gov","executive","Department of Labor","No","Yes"
"doleta.gov","https://doleta.gov","executive","Department of Labor","No","Yes"
"donaciondeorganos.gov","http://www.donaciondeorganos.gov","executive","Department of Health And Human Services","No","Yes"
"donotcall.gov","https://donotcall.gov","executive","Federal Trade Commission","No","Yes"
"dotgov.gov","https://www.dotgov.gov","executive","General Services Administration","No","Yes"
"dra.gov","http://dra.gov","executive","Delta Regional Authority","No","No"
"drought.gov","https://www.drought.gov","executive","Department of Commerce","No","Yes"
"drugabuse.gov","https://www.drugabuse.gov","executive","Department of Health And Human Services","No","Yes"
"dsac.gov","https://www.dsac.gov","executive","Department of Justice","No","No"
"eac.gov","https://www.eac.gov","executive","General Services Administration","No","Yes"
"economicinclusion.gov","https://economicinclusion.gov","executive","Federal Deposit Insurance Corporation","No","No"
"econsumer.gov","https://econsumer.gov","executive","Federal Trade Commission","No","Yes"
"ecopartnerships.gov","http://ecopartnerships.gov","executive","Department of State","No","No"
"ecpic.gov","https://www.ecpic.gov","executive","General Services Administration","No","Yes"
"ed.gov","http://ed.gov","executive","Department of Education","No","Yes"
"eda.gov","https://eda.gov","executive","Department of Commerce","No","Yes"
"edpubs.gov","https://edpubs.gov","executive","Department of Education","No","Yes"
"education.gov","http://education.gov","executive","Department of Education","No","Yes"
"eeoc.gov","https://www.eeoc.gov","executive","Equal Employment Opportunity Commission","No","No"
"eftps.gov","https://www.eftps.gov","executive","Department of the Treasury","No","No"
"eia.gov","http://www.eia.gov","executive","Department of Energy","No","No"
"eisenhowermemorial.gov","http://eisenhowermemorial.gov","executive","General Services Administration","No","Yes"
"eldercare.gov","http://www.eldercare.gov","executive","Department of Health And Human Services","No","No"
"employeeexpress.gov","https://www.employeeexpress.gov","executive","Office of Personnel Management","No","Yes"
"empowhr.gov","https://empowhr.gov","executive","Department of Agriculture","No","No"
"ems.gov","http://www.ems.gov","executive","Department of Transportation","No","Yes"
"endingthedocumentgame.gov","https://endingthedocumentgame.gov","executive","Department of Health And Human Services","No","No"
"energy.gov","http://energy.gov","executive","Department of Energy","No","Yes"
"energycodes.gov","https://www.energycodes.gov","executive","Department of Energy","No","No"
"energystar.gov","https://www.energystar.gov","executive","Environmental Protection Agency","No","Yes"
"epa.gov","https://www.epa.gov","executive","Environmental Protection Agency","No","Yes"
"epic.gov","https://www.epic.gov","executive","Department of Justice","No","No"
"esa.gov","http://esa.gov","executive","Department of Commerce","No","Yes"
"esc.gov","http://www.esc.gov","executive","Department of Transportation","No","No"
"esrs.gov","https://esrs.gov","executive","General Services Administration","No","Yes"
"eta-find.gov","https://www.eta-find.gov","executive","Department of the Treasury","No","No"
"ethicsburg.gov","http://www.ethicsburg.gov","executive","Department of the Treasury","No","No"
"evergladesrestoration.gov","http://evergladesrestoration.gov","executive","Department of the Interior","No","No"
"everykidinapark.gov","https://everykidinapark.gov","executive","General Services Administration","No","Yes"
"execsec.gov","http://www.execsec.gov","executive","Department of Agriculture","No","No"
"export.gov","https://www.export.gov","executive","Department of Commerce","No","Yes"
"eyenote.gov","http://eyenote.gov","executive","Department of the Treasury","No","No"
"faa.gov","http://www.faa.gov","executive","Department of Transportation","No","Yes"
"faasafety.gov","https://www.faasafety.gov","executive","Department of Transportation","No","No"
"facadatabase.gov","http://facadatabase.gov","executive","General Services Administration","No","Yes"
"fafsa.gov","https://fafsa.gov","executive","Department of Education","No","No"
"fai.gov","https://www.fai.gov","executive","General Services Administration","No","Yes"
"fan.gov","https://www.fan.gov","executive","Department of State","No","No"
"fapiis.gov","https://www.fapiis.gov","executive","General Services Administration","No","Yes"
"fara.gov","https://www.fara.gov","executive","Department of Justice","No","Yes"
"farmerclaims.gov","https://www.farmerclaims.gov","executive","Department of Agriculture","No","No"
"fatherhood.gov","https://www.fatherhood.gov","executive","Department of Health And Human Services","No","No"
"fbi.gov","https://www.fbi.gov","executive","Department of Justice","No","No"
"fbiic.gov","https://www.fbiic.gov","executive","Federal Reserve System","No","No"
"fbijobs.gov","https://fbijobs.gov","executive","Department of Justice","No","No"
"fbo.gov","https://www.fbo.gov","executive","General Services Administration","No","Yes"
"fca.gov","http://fca.gov","executive","Farm Credit Administration","No","No"
"fcc.gov","https://www.fcc.gov","executive","Federal Communications Commission","No","No"
"fcg.gov","https://www.fcg.gov","executive","Department of the Interior","No","No"
"fcsic.gov","http://fcsic.gov","executive","Farm Credit Administration","No","No"
"fda.gov","http://www.fda.gov","executive","Department of Health And Human Services","No","Yes"
"fdic.gov","https://fdic.gov","executive","Federal Deposit Insurance Corporation","No","No"
"fdicconnect.gov","http://www.fdicconnect.gov","executive","Federal Deposit Insurance Corporation","No","No"
"fdicig.gov","https://www.fdicig.gov","executive","Federal Deposit Insurance Corporation","No","No"
"fdicseguro.gov","https://fdicseguro.gov","executive","Federal Deposit Insurance Corporation","No","No"
"fea.gov","http://www.fea.gov","executive","Denali Commission","No","Yes"
"feb.gov","https://feb.gov","executive","Office of Personnel Management","No","Yes"
"fec.gov","http://fec.gov","executive","Federal Elections Commission","No","Yes"
"fedcenter.gov","https://www.fedcenter.gov","executive","Environmental Protection Agency","No","Yes"
"federalinvestments.gov","http://federalinvestments.gov","executive","Department of the Treasury","No","Yes"
"federalreserve.gov","http://www.federalreserve.gov","executive","Federal Reserve System","No","No"
"federalreserveconsumerhelp.gov","http://federalreserveconsumerhelp.gov","executive","Federal Reserve System","No","No"
"fedidcard.gov","http://fedidcard.gov","executive","General Services Administration","No","Yes"
"fedinvest.gov","http://fedinvest.gov","executive","Department of the Treasury","No","Yes"
"fedpartnership.gov","http://fedpartnership.gov","executive","Federal Reserve System","No","No"
"fedramp.gov","https://www.fedramp.gov","executive","General Services Administration","No","Yes"
"fedshirevets.gov","https://fedshirevets.gov","executive","Office of Personnel Management","No","Yes"
"feedthefuture.gov","https://feedthefuture.gov","executive","U.S. Agency for International Development","No","Yes"
"fema.gov","https://www.fema.gov","executive","Department of Homeland Security","No","Yes"
"femalefarmerclaims.gov","https://www.femalefarmerclaims.gov","executive","Department of Agriculture","No","No"
"ferc.gov","https://www.ferc.gov","executive","Federal Energy Regulatory Commission","No","Yes"
"fercalt.gov","http://fercalt.gov","executive","Federal Energy Regulatory Commission","No","No"
"ffiec.gov","https://www.ffiec.gov","executive","Federal Reserve System","No","No"
"fgdc.gov","https://fgdc.gov","executive","Department of the Interior","No","No"
"fhfa.gov","http://www.fhfa.gov","executive","Federal Housing Finance Agency","No","No"
"fhfaoig.gov","https://www.fhfaoig.gov","executive","Federal Housing Finance Agency Office of Inspector General","No","No"
"fido.gov","http://fido.gov","executive","General Services Administration","No","Yes"
"financialresearch.gov","https://www.financialresearch.gov","executive","Department of the Treasury","No","Yes"
"fincen.gov","https://www.fincen.gov","executive","Department of the Treasury","No","No"
"findyouthinfo.gov","http://findyouthinfo.gov","executive","Department of Health And Human Services","No","No"
"firecode.gov","http://www.firecode.gov","executive","Department of the Interior","No","No"
"fireleadership.gov","http://www.fireleadership.gov","executive","Department of the Interior","No","No"
"firescience.gov","http://www.firescience.gov","executive","Department of the Interior","No","No"
"firstnet.gov","http://firstnet.gov","executive","Department of Commerce","No","No"
"firstrespondertraining.gov","https://www.firstrespondertraining.gov","executive","Department of Homeland Security","No","No"
"fiscalcommission.gov","https://www.fiscalcommission.gov","executive","Executive Office of the President","No","No"
"fishwatch.gov","http://www.fishwatch.gov","executive","Department of Commerce","No","Yes"
"fitness.gov","http://www.fitness.gov","executive","Department of Health And Human Services","No","Yes"
"fleta.gov","https://www.fleta.gov","executive","Department of Homeland Security","No","Yes"
"fletc.gov","https://www.fletc.gov","executive","Department of Homeland Security","No","No"
"flightschoolcandidates.gov","https://flightschoolcandidates.gov","executive","Department of Homeland Security","No","No"
"floodsmart.gov","https://www.floodsmart.gov","executive","Department of Homeland Security","No","Yes"
"flra.gov","https://www.flra.gov","executive","Federal Labor Relations Authority","No","Yes"
"flu.gov","http://www.flu.gov","executive","Department of Health And Human Services","No","Yes"
"fmc.gov","http://www.fmc.gov","executive","Federal Maritime Commission","No","No"
"fmcs.gov","https://fmcs.gov","executive","Federal Mediation and Conciliation Service","No","No"
"fmi.gov","https://fmi.gov","executive","General Services Administration","No","Yes"
"fmshrc.gov","http://fmshrc.gov","executive","Federal Mine Safety and Health Review Company","No","No"
"fnal.gov","http://fnal.gov","executive","Department of Energy","No","No"
"foia.gov","https://www.foia.gov","executive","Department of Justice","No","Yes"
"foodsafety.gov","https://www.foodsafety.gov","executive","Department of Health And Human Services","No","Yes"
"foodsafetyworkinggroup.gov","http://www.foodsafetyworkinggroup.gov","executive","Department of Agriculture","No","No"
"fordlibrarymuseum.gov","https://fordlibrarymuseum.gov","executive","National Archives and Records Administration","No","Yes"
"foreignassistance.gov","http://www.foreignassistance.gov","executive","Department of State","No","No"
"forestsandrangelands.gov","http://forestsandrangelands.gov","executive","Department of Agriculture","No","No"
"forfeiture.gov","http://www.forfeiture.gov","executive","Department of Justice","No","Yes"
"fpds.gov","https://fpds.gov","executive","General Services Administration","No","Yes"
"frpg.gov","https://www.frpg.gov","executive","General Services Administration","No","Yes"
"frtib.gov","https://www.frtib.gov","executive","Federal Retirement Thrift Investment Board","No","No"
"frtr.gov","https://frtr.gov","executive","Environmental Protection Agency","No","Yes"
"fs.fed.us","http://fs.fed.us","executive","Department of Agriculture","No","No"
"fsapubs.gov","https://fsapubs.gov","executive","Department of Education","No","Yes"
"fsd.gov","https://www.fsd.gov","executive","General Services Administration","No","Yes"
"fsgb.gov","https://www.fsgb.gov","executive","Department of State","No","No"
"fsrs.gov","https://fsrs.gov","executive","General Services Administration","No","Yes"
"ftc.gov","https://www.ftc.gov","executive","Federal Trade Commission","No","Yes"
"ftccomplaintassistant.gov","https://ftccomplaintassistant.gov","executive","Federal Trade Commission","No","Yes"
"ftcefile.gov","https://ftcefile.gov","executive","Federal Trade Commission","No","No"
"fttesttwai.gov","https://fttesttwai.gov","executive","Department of the Treasury","No","No"
"fueleconomy.gov","http://fueleconomy.gov","executive","Department of Energy","No","No"
"fvap.gov","https://www.fvap.gov","executive","Department of Defense","No","Yes"
"fws.gov","https://www.fws.gov","executive","Department of the Interior","No","Yes"
"g5.gov","https://www.g5.gov","executive","Department of Education","No","Yes"
"gcdamp.gov","http://www.gcdamp.gov","executive","Department of the Interior","No","No"
"gcmrc.gov","http://www.gcmrc.gov","executive","Department of the Interior","No","Yes"
"genome.gov","https://www.genome.gov","executive","Department of Health And Human Services","No","No"
"geocommunicator.gov","http://www.geocommunicator.gov","executive","Department of the Interior","No","No"
"geomac.gov","http://www.geomac.gov","executive","Department of the Interior","No","Yes"
"geoplatform.gov","https://www.geoplatform.gov","executive","Department of the Interior","No","No"
"getsmartaboutdrugs.gov","https://www.getsmartaboutdrugs.gov","executive","Department of Justice","No","No"
"ghi.gov","https://ghi.gov","executive","Department of State","No","Yes"
"ginniemae.gov","http://www.ginniemae.gov","executive","Department of Housing And Urban Development","No","Yes"
"girlshealth.gov","https://www.girlshealth.gov","executive","Department of Health And Human Services","No","Yes"
"globalchange.gov","http://www.globalchange.gov","executive","United Stated Global Change Research Program","No","Yes"
"globe.gov","http://www.globe.gov","executive","National Aeronautics and Space Administration","No","No"
"godirect.gov","https://www.godirect.gov","executive","Department of the Treasury","No","No"
"goes-r.gov","http://www.goes-r.gov","executive","Department of Commerce","No","Yes"
"govloans.gov","https://www.govloans.gov","executive","Department of Labor","No","Yes"
"govsales.gov","http://www.govsales.gov","executive","General Services Administration","No","Yes"
"gps.gov","http://www.gps.gov","executive","Department of Commerce","No","Yes"
"grants.gov","http://www.grants.gov","executive","Department of Health And Human Services","No","No"
"grantsolutions.gov","https://grantsolutions.gov","executive","Department of Health And Human Services","No","No"
"gsa.gov","http://www.gsa.gov","executive","General Services Administration","No","Yes"
"gsaadvantage.gov","https://gsaadvantage.gov","executive","General Services Administration","No","Yes"
"gsaauctions.gov","http://www.gsaauctions.gov","executive","General Services Administration","No","Yes"
"gsaig.gov","http://gsaig.gov","executive","General Services Administration","No","No"
"gsaxcess.gov","http://gsaxcess.gov","executive","General Services Administration","No","Yes"
"guideline.gov","https://guideline.gov","executive","Department of Health And Human Services","No","Yes"
"guidelines.gov","http://www.guidelines.gov","executive","Department of Health And Human Services","No","No"
"gwa.gov","https://www.gwa.gov","executive","Department of the Treasury","No","No"
"hanford.gov","http://www.hanford.gov","executive","Department of Energy","No","No"
"harp.gov","http://harp.gov","executive","Federal Housing Finance Agency","No","No"
"health.gov","https://health.gov","executive","Department of Health And Human Services","No","Yes"
"healthcare.gov","https://www.healthcare.gov","executive","Department of Health And Human Services","No","No"
"healthdata.gov","https://healthdata.gov","executive","Department of Health And Human Services","No","No"
"healthfinder.gov","https://healthfinder.gov","executive","Department of Health And Human Services","No","Yes"
"healthindicators.gov","http://www.healthindicators.gov","executive","Department of Health And Human Services","No","No"
"healthit.gov","https://www.healthit.gov","executive","Department of Health And Human Services","No","Yes"
"healthypeople.gov","https://www.healthypeople.gov","executive","Department of Health And Human Services","No","Yes"
"helpwithmybank.gov","https://www.helpwithmybank.gov","executive","Department of the Treasury","No","Yes"
"hhs.gov","http://www.hhs.gov","executive","Department of Health And Human Services","No","Yes"
"hispanicfarmerclaims.gov","https://www.hispanicfarmerclaims.gov","executive","Department of Agriculture","No","No"
"homesales.gov","http://homesales.gov","executive","Department of Housing And Urban Development","No","No"
"hrsa.gov","http://hrsa.gov","executive","Department of Health And Human Services","No","Yes"
"hru.gov","https://hru.gov","executive","Office of Personnel Management","No","Yes"
"hsa.gov","http://hsa.gov","executive","Small Business Administration","No","No"
"hud.gov","http://hud.gov","executive","Department of Housing And Urban Development","No","No"
"hudoig.gov","https://www.hudoig.gov","executive","Department of Housing And Urban Development","No","Yes"
"huduser.gov","https://www.huduser.gov","executive","Department of Housing And Urban Development","No","No"
"humanrights.gov","http://www.humanrights.gov","executive","Department of State","No","No"
"hydrogen.gov","http://hydrogen.gov","executive","Department of Energy","No","No"
"iab.gov","https://iab.gov","executive","Department of Energy","No","No"
"iad.gov","https://www.iad.gov","executive","Department of Defense","No","Yes"
"iaf.gov","http://iaf.gov","executive","Inter-American Foundation","No","No"
"iarpa-ideas.gov","http://iarpa-ideas.gov","executive","Director of National Intelligence","No","No"
"iarpa.gov","https://www.iarpa.gov","executive","Director of National Intelligence","No","No"
"iat.gov","https://www.iat.gov","executive","Department of the Interior","No","No"
"iawg.gov","http://iawg.gov","executive","Department of State","No","No"
"ibwc.gov","http://ibwc.gov","executive","Department of State","No","Yes"
"ic3.gov","https://www.ic3.gov","executive","Department of Justice","No","Yes"
"icass.gov","https://www.icass.gov","executive","Department of State","No","No"
"icbemp.gov","http://icbemp.gov","executive","Department of Agriculture","No","No"
"ice.gov","https://www.ice.gov","executive","Department of Homeland Security","No","Yes"
"ich.gov","http://ich.gov","executive","US Interagency Council on Homelessness","No","No"
"icjointduty.gov","https://www.icjointduty.gov","executive","Director of National Intelligence","No","No"
"identitytheft.gov","https://identitytheft.gov","executive","Federal Trade Commission","No","Yes"
"idmanagement.gov","http://idmanagement.gov","executive","General Services Administration","No","Yes"
"ignet.gov","https://www.ignet.gov","executive","Council of Inspector General on Integrity and Efficiency","No","No"
"ihs.gov","https://www.ihs.gov","executive","Department of Health And Human Services","No","Yes"
"iiog.gov","http://iiog.gov","executive","Department of Agriculture","No","No"
"imls.gov","https://imls.gov","executive","Institute of Museum and Library Services","No","No"
"indianaffairs.gov","http://indianaffairs.gov","executive","Department of the Interior","No","Yes"
